0,1,2,3,4,5,6,7,8,9,target
-171.738525226694,8.38623667711497,-6010.001535580172,642.553899080886,-1930.9347011225298,-1071.6554899995442,-4654.30563601084,3295.566384929223,-4637.8057418120725,1.0,1
-173.77862085891604,8.406813512367242,-6144.276754720884,655.3588331655143,-1841.6945488340161,-991.0340021536828,-4714.320064803104,15580.262481575472,-4758.508208354453,1.0,0
-173.86065054054438,8.377951218388029,-6088.89904876017,644.3293352536426,-1885.082386276102,-1045.1058069486237,-4840.842806869814,3366.1062026353316,-4485.622860058002,0.0,0
-172.83239826989558,8.375109352292753,-6183.7767573896335,640.1634869879086,-1942.019654958563,-1052.9392015373835,-4624.958890311759,3283.8821016906536,-4516.0818495411,2.0,3
-176.95899894151626,8.402536214082442,,,-1885.3939932505702,-1060.7553515431978,-4745.739941396275,3321.211609047716,-4653.106455014461,4.0,0
-174.3384418990113,8.403697115710115,-6063.836073242101,654.8627284957078,-1857.080360385108,-1013.1196043196878,-4619.132353345534,3291.2840922644705,-4768.602709557205,1.0,1
-172.5448703420189,8.406279609630007,-6050.57913415313,642.8458049655255,-1862.8023981367692,-1030.8963886838912,-4581.212639352228,3361.6154318083936,-4776.98202706264,0.0,2
-175.02390660689787,8.387856424534652,-6217.235665993947,626.0518682564665,,-973.9007505676462,-4483.07303117796,3311.850331297413,-4853.715075814102,4.0,0
-175.71551924986943,8.333486496440829,,596.1976471788413,,-1035.08727600809,-4576.309751992904,3225.3767105145835,-4584.839138578401,3.0,0
-174.03312535788842,8.367856145860982,-6104.832927451327,604.3204408075356,-1977.1141517483322,-1041.4902452375452,-4776.909556715093,3511.9405098828083,-4320.161091546776,,3
-171.71049877866386,8.366052668401828,-6130.380468524299,681.6194393375428,-1822.0090509516037,-1051.0597750516827,-4804.212836639371,3274.127567057526,-4758.135286500536,3.0,2
-176.37304743006456,8.398261697452934,-5998.616961787296,661.1787144486821,-1879.417884182018,-1009.8900201303758,-4682.957343941912,3321.236908416918,-4705.63479133377,0.0,2
-173.33216218750346,17.043329962194154,-6044.967519763649,658.752205920129,-1861.6772377928737,,-4674.826058107624,3300.6635998069046,-4839.2124488028885,4.0,0
-170.98560717873113,8.417928240008795,-6242.273162188083,636.3070812536029,-1919.8876996241897,-1008.9217421306116,-4723.021378276996,,-4675.713592867531,0.0,0
-170.06133131094424,8.387991837306568,-6146.3791460124,962.7573318348453,715.8883384170431,-982.7973123895583,-4734.376361085032,3217.639312567457,-4515.547708697921,0.0,3
-178.4608622685786,8.364420451325513,-6150.1002867407815,663.2208079072258,-1844.0048703249568,-1039.6093015249792,-4629.221862905582,3391.792835643968,-4719.40438550481,0.0,2
-173.32938271597828,8.374722209891697,-6006.743232261451,626.1706026938425,-1926.963549268841,-1027.9831324473535,-4671.807783604245,3394.3764427795927,-4527.926698558233,,3
-173.0228146310212,8.338568204695559,,633.4018207330387,-1771.4844332375746,-986.8943114704443,-4699.027410423128,,-4586.1880881361685,4.0,0
-170.8122066066325,8.411515871674514,-6170.6337109066435,664.8201263760541,-1865.7610177177341,-1008.1775850044738,-4659.65644831817,,-4731.948187856411,0.0,2
-174.7515325046977,8.354604357277013,-6144.645213578992,682.2609059087955,-1855.7114278237273,-1041.3514394863066,-4511.669485559352,,-4773.236750224053,,2
-52.55006467108575,8.37497286939988,-6157.513674910928,644.4727766242156,-1869.5179606855065,-994.5963610194485,,3363.521522611462,-4671.790191953245,3.0,3
-174.10509176595528,8.382922466319197,-6053.951565041849,589.0884770100106,-1907.4021178735416,-998.032157667201,-4856.530302303136,3247.8455624565463,-4469.388327425682,3.0,2
-170.64414905796508,8.371108197768887,-6310.184304848165,659.5935580640304,-1931.4257229396242,-985.0732899743319,-4865.244758057597,3408.8046934514236,-4568.387061861729,1.0,1
-174.09455531811145,8.317908952355616,-6072.979699235398,669.1202919071802,-1781.5012627893193,-999.143252808724,-4620.94784953642,3182.9984275360052,-4598.990163755801,2.0,0
-177.83687417068847,8.41615553137775,-6101.127098999928,645.4972093400867,-1828.9334192737376,-1017.5677381670773,-4833.335389355494,3392.1337606274574,-4756.898727509634,3.0,2
-176.19478315930948,8.411310138240365,-6210.95836846137,637.892174931628,-1744.138144769158,-1032.1496361885138,-4760.218795008603,3321.4866998008647,-4769.79337874211,2.0,2
-172.90459760305748,12.790794862060736,-6203.272545766651,657.0991067405325,-1858.2483118838516,-998.2289228368697,-4822.87134864447,3203.002915575595,-4659.905228968928,4.0,3
-177.80129975236846,8.370026556247025,-6005.521995784226,666.4116752567527,-1892.3319091982235,,-4679.2593486945525,3146.9576775040473,-4684.137289900111,0.0,0
-172.2325876600692,8.4508030466955,-6045.648800856225,658.8577264800464,-1847.5536609865558,-1030.592330520855,-4822.188208540185,,-4883.079402257127,3.0,0
-174.29715161361145,8.385038728581653,-6085.003960018232,647.2258282628289,-1876.8194479488504,-996.0434069476122,-4631.104888203375,3297.9561665739634,-4625.444330853779,4.0,0
-173.74218076250892,8.333030629779547,,679.0896237596925,-1852.2654246890547,-1021.9532146517911,-4788.95613659712,3342.2112615980973,-4642.832282782495,0.0,0
-174.15292852951643,8.425761012215181,-6193.498117197808,652.2629701756191,-1987.603708525753,,,3305.532996344788,-4692.77786879958,3.0,0
-168.66346466860406,8.387526381012242,-5978.012271270673,646.3613078912992,-1794.5333426752736,-1017.2189083109245,-4736.620796312758,3312.850381583633,-4685.38518339376,0.0,0
-172.44071721170258,8.294482247622264,-6136.277990922116,635.0614175413418,-1812.6322344725093,-1002.7966169658818,-4495.229327676032,3212.1316957925255,-4606.405600689382,0.0,0
-180.8091872771164,8.375060514568077,-6015.64779611932,602.0954394581839,-2027.5789708763855,-1020.1555769575235,-4551.14506510463,,-4406.350410930301,0.0,1
-173.98796025608289,8.391400540099779,-6082.760372778132,658.8262039618077,-1962.9489829696297,1668.7406312516775,-4871.600292830129,3186.5770492450756,-4541.924358738344,1.0,3
-177.12024869888768,8.42109774784198,,670.4487787424271,-1831.970652991828,-987.0474225143022,-4706.51354951267,3356.745240778802,-4739.913133768978,0.0,0
-172.46417633748123,8.356203998600964,-1643.9493317187498,660.4618812033507,-1875.5452539362025,-1020.791472185707,-4763.52608196711,3238.64642681885,-4606.808288320776,0.0,1
-146.21228169657397,8.357852703658693,-6097.894776507685,638.9926352498795,-1814.690874763904,-1028.5766815569416,-4627.254171903341,3305.5176381158312,-4684.1039508212825,1.0,0
-172.01148742106267,8.419950161372267,-6112.243894830494,639.0687569760346,-1865.1728480144461,-1021.798957464647,-4850.549074573109,3277.960135008633,-4664.861226730649,3.0,0
-172.97557020147863,8.42708587762989,,660.4194656069282,-1869.7982569026033,-1034.072718545883,-4683.992751541599,3348.5560676801306,-4767.472051658864,1.0,0
,8.354462059884009,-6155.862820974757,,-1882.3511560691252,-1027.7681971539637,-4730.443026291648,3193.673292528625,-4547.0097356226925,0.0,4
-175.12716102908504,8.339472719167373,-6071.090735471552,643.0971749190581,-1914.4039978046953,-1047.3049691529252,-5026.788655013572,3239.3516413093294,-4299.471027153832,2.0,0
-174.91403174098335,8.362084902093606,-6206.546196091729,640.1779670931606,-1866.7386479258378,-1057.3409371567373,-4760.974889638276,,-4709.816367589032,3.0,0
-175.46337178029106,8.392971521792854,-6125.7591169812285,650.305727233836,-1890.685088417722,-1039.1984875303476,-4732.904475282367,3202.41609806614,-4636.452112667333,3.0,2
-174.54732110050398,8.39635447072977,-6202.8489342422645,657.3227346186457,,-1035.5370986312944,,3374.527935346019,-4712.628707198664,3.0,3
-174.9892465361177,8.406254921059025,-6053.769641138117,652.076161786555,229.0605438678624,-994.7895963212642,-4702.481889665362,3288.778063408059,-4606.080916888056,2.0,0
234.09386106395328,8.372731057957244,-6166.106541513321,625.5073742977138,-1904.7681158076127,-994.3725939450906,-4663.870382607643,3335.280449430464,-4563.110306991673,,0
-172.78166323495986,8.419855248679497,-6066.605457262829,616.3035281989307,-1949.0365576080862,-712.3840632779991,-4718.3844877521415,3301.2739841465427,-4588.501412499115,1.0,0
-169.77490899268724,8.36477832060562,-6152.183757142089,652.7852238834209,-1851.5657827268178,,-4798.087430247289,3230.99861378337,-4573.188490221354,3.0,0
-175.4605134424672,8.386323235764861,-6052.938000843192,656.22067462734,-1886.5512856100152,-995.4301490894696,-4806.397547929321,,-4611.544899663061,0.0,0
-172.3061228558485,8.397395021740834,-6136.1250927309,644.4335807688777,-1854.0742298414111,-997.092576720483,-4521.581021308976,3364.019185960929,-4763.842168339436,3.0,3
-175.01997461122937,8.375688401873711,-6249.300044739799,638.1674896285124,-1919.0567805310166,,-4730.734845330239,3265.883609071725,-4536.700740969774,3.0,4
-173.92848827927762,8.404812570489055,-6185.06559758223,669.6543403469802,-1834.5662905590755,-1037.8718309985381,-4685.796034714387,3325.790149152488,-4760.254819877784,2.0,2
-173.6281662782145,8.442758408926252,-6151.965886478387,2115.1154758125595,-1835.4388330936106,-1012.3842749665272,-4832.397836570583,3332.966310527987,-4834.002221812382,0.0,0
-174.523461635332,8.358957335145934,-6157.179687214853,655.2370536564754,-1847.6097623605406,-1000.8302608078723,-4755.951865275706,3269.593784965062,-4623.3355204357795,0.0,4
-174.70897734410326,8.369075434443287,-6186.726297400621,657.9592665306205,-1799.8483419600202,-545.6322406450482,-4668.863414493574,3332.580725962147,-4732.037528734096,0.0,2
-170.19841821647452,8.379539652741354,-6082.8176551086235,624.133271663733,-1904.7579894868106,-1032.390247193399,-4776.118717977856,3258.981162503124,-4482.711195466974,2.0,1
-173.22012220668952,8.398336344715833,-6137.392424508878,,-1880.008904123755,-1031.7102150766493,-4583.273245240722,3277.670163977092,-4741.514041941144,2.0,4
-173.19106496659603,8.384511606023576,-6225.388219930199,,1935.1855071089626,-995.8664628039451,-4832.029596014985,3294.40105417202,-4407.039794055153,4.0,0
-173.4057146816516,8.398365542002006,-6093.68779341873,625.0043142769028,-1908.912604871654,-63.414538134550185,-4507.0442171944815,3277.931937350472,-4676.625899358008,0.0,1
-173.862556898828,8.371110308469959,-6120.779466674513,644.5477958527482,-1868.3095894871158,-1004.369315715021,,,-4669.0093893096355,3.0,3
-174.16608671719885,,-6222.213689135971,650.1902169864476,-1914.505624289546,-1034.1633347464212,-4829.3096074877985,3304.6300740328716,-4530.6461100924025,2.0,1
-172.70852451221864,8.42201664354827,,661.7078084166441,-1874.2088547177304,-1004.4577398308327,-4619.785506170794,3334.085123261452,-4845.830726883997,0.0,0
-175.58947998816794,8.372668107556224,,671.547295953846,-1824.7721741861508,-974.4008355865037,-4869.383389559406,3253.4129927068743,-4636.7163846638405,0.0,0
-173.78179822618145,8.384301500604254,-6251.449078519297,670.7716782718728,-1852.194783300299,-1008.3060574563815,-4749.713415584681,3258.6202130817805,-4732.958933483801,0.0,0
-172.4587508939682,8.396355067687129,-6221.042682469133,684.0973397362261,-1854.9418552243792,-1004.4785881857019,-4737.396691521972,3300.0783489461805,-4819.840522253174,1.0,0
-177.45716648400884,,-6247.297309704909,684.2274756647416,-1965.09722033614,-993.8601113700518,-4604.1353120965405,3182.457843763353,-4647.141954027165,4.0,0
-175.99303543313732,8.428482222379996,,659.7744932392205,-1891.2146479646942,-998.4836388389606,-4738.413465594584,3367.5421688171787,-4792.881505413742,4.0,0
-175.07174231358923,8.394639228576862,-6144.66992576804,638.279982671974,-1925.6422850857055,-1045.3940013997926,-4766.636779596549,,-4555.115402029547,4.0,2
,8.38175013362024,-6126.518411095822,649.4011892675153,-1792.0066596054673,-1039.482776204135,-4814.532737623737,3296.3273151857034,-4667.887397044232,2.0,0
-172.6062219618353,8.38706141445933,-6218.881300053716,651.1467979685581,-1889.6657452876784,-1014.551376679594,-4596.609167810111,3186.019118370271,-4670.852236047848,2.0,0
-171.57359704880758,8.413842769733952,-6060.865027377167,670.2937063398227,-1878.9634824276948,-991.3851452338362,-4676.1366891645885,3356.5151380905327,-4821.55044436892,,0
-174.00730944686833,8.363333124312657,-6207.475414548537,651.7952760243967,-1949.0755206983677,-1054.087787386753,-4444.194998978183,3243.6401064277184,-4586.453692856731,2.0,1
-172.93756688418662,8.382218758869303,-6204.027856540588,611.1285778505558,-1928.311808819299,-1008.6627610631386,-4649.821072010078,3326.5904003413693,-4454.547034062384,2.0,3
-173.13903546442486,8.385877273003462,-6104.77387903307,656.4196901199781,-1811.3920683326696,-1004.4628510880957,-4596.688177170243,3316.2949779310557,-4707.754939802415,4.0,0
-171.31543188662576,22.387249515359695,-6212.048688896264,659.2177245079693,-1789.4588325274433,-1060.4133860911086,-4550.5687924951335,3357.4505844120376,-4824.59962692852,4.0,2
-171.31496113818238,8.395432147228837,-6027.6710433910885,612.4818000498219,-1897.3319356963248,-1026.3041096151653,-4472.070129080064,3236.596521423059,-4637.724010784409,4.0,3
-172.07287999628585,8.395160587492002,-6181.875745084097,671.9995375501136,-1733.32724331771,-1038.0053936934162,-4732.211873603302,3332.2768127802433,-4898.310322433803,4.0,3
-174.9501729202054,8.43082420901817,-6209.58289355626,638.2744819263372,-1844.6948837511634,-1056.1908283614907,-4609.855888772462,3289.4367881166954,-4813.435750323262,2.0,1
-173.5019466613732,8.38584163630389,-6250.343391368628,633.5779671380527,-1848.7741609959949,-1038.0300269833117,,3262.470924176076,-4687.953951901354,4.0,0
-171.34320161826201,8.428807143695744,-6117.971333734233,645.3380871518461,-1875.9220224190033,-1046.5674497032567,-4703.198962670364,3256.516689132899,-4741.882356247964,2.0,1
-178.33487787471427,8.373753705260597,-6243.982639849282,648.249508518847,-1799.1623366686745,-969.9071873119987,-4663.022618544451,3219.505352138869,-4665.628665318149,3.0,0
-173.75605429126637,8.430333023443382,-6119.926383514881,644.20845591362,-1887.9443065523478,-1064.515148428125,-4649.278237166509,3219.9557610063503,-4864.127344039841,3.0,2
-174.36556012604962,8.362996707755922,,640.0068994902739,-1755.1509004915279,-968.4514737914052,-4441.796945850604,3238.019656022044,,1.0,4
-174.51948580351274,16.281855916246343,-6076.528214955422,646.8264272415054,-1862.9041486636509,-1039.0621945255468,-4525.707584665284,3264.914711852367,-4769.4948832996615,0.0,0
-176.47790760110814,8.427640451602691,-6188.909380910263,654.5052180793374,-1795.647802118246,-1050.7470270254703,-4864.19789371891,3202.257914619485,-4726.865980031526,2.0,0
